ampl.tab 1 1
BusID	Pd
1	56.6305477
2	12.1925924
3	0
4	22.7970837
5	115.972748
6	0
7	130.119494
8	65.7624416
9	8.12221285
10	24.9280246
11	6.28923383
12	5.86119021
13	35.1203816
14	38.5284297
15	24.9681545
16	22.5232238
17	46.4927618
18	0
19	47.2000621
20	72.6881705
21	12.7900791
22	8.30597002
23	0
24	8.13624283
25	4.42639756
26	5.37260916
27	5.26240942
28	0
29	8.16231537
30	4.57603438
31	2.58340987
32	0
33	4.94620865
34	0
35	0
36	8.24989955
37	12.8963875
38	2.62467636
39	5.98058171
40	0
41	3.50269781
42	4.98218492
43	0
44	8.42753915
45	0
46	0
47	14.2293846
48	19.3326949
49	0
50	0
51	0
52	2.09453206
53	4.63394452
54	0
55	3.17523238
56	8.27241654
57	0
58	0
59	0
60	0
61	0
62	0
63	7.59149755
64	6.69755973
65	7.24963602
66	0
67	3.20898239
68	0
69	18.9960297
70	2.44323077
71	0
72	2.45799235
73	0
74	58.3494814
75	7.42455062
76	0
77	25.3356052
78	3.95046175
79	0
80	6.13758119
81	3.96635966
82	56.2658675
83	8.2653928
84	11.1321808
85	3.34525308
86	3.98569855
87	4.32136332
88	21.2907186
89	0
90	4.23818639
91	4.55639825
92	60.4020676
93	43.8934269
94	10.220178
95	34.4571316
96	6.64334114
97	0
98	0
99	12.7397467
100	8.40409689
101	14.9407967
102	7.98153293
103	0
104	7.18614121
105	0
106	5.40467383
107	34.1070171
108	33.1997529
109	1.69090942
110	10.7401663
111	0
112	0
113	0
114	11.5169429
115	7.03469662
116	0
117	12.9890765
118	5.35696083
119	15.5623155
120	4.16106141
121	0
122	2.47614264
123	5.2771966
124	11.6802862
125	0
126	7.18418508
127	0
128	5.50750283
129	0
130	0
131	0
132	0
133	2.9570706
134	0
135	0
136	10.5497909
137	0
138	0
139	11.0947274
140	19.5985169
141	0
142	17.3481699
143	0
144	0
145	0
146	5.46823566
147	86.760028
148	12.7199757
149	0
150	9.2354472
151	4.85304924
152	0
153	0
154	5.77528991
155	0
156	4.9370406
157	0
158	0
159	0
